Date,Fund,NAV,India_10Y_Yield,Total_AUM_Lakhs,Reported_NAV_Total,Cash_Liquidity,AAA_Sovereign,AA_Rated,Below_AA
13-06-2024,SBI,44.9259,6.986,243386.31,100,0,19.71730001,66.51643962,13.76626037
14-06-2024,SBI,44.9363,6.984,243386.31,100,0,19.71730001,66.51643962,13.76626037
18-06-2024,SBI,44.9727,6.981,243386.31,100,0,19.71730001,66.51643962,13.76626037
19-06-2024,SBI,44.9894,6.974,243386.31,100,0,19.71730001,66.51643962,13.76626037
20-06-2024,SBI,44.9972,6.976,243386.31,100,0,19.71730001,66.51643962,13.76626037
21-06-2024,SBI,45.0164,6.973,243386.31,100,0,19.71730001,66.51643962,13.76626037
24-06-2024,SBI,45.0479,6.971,243386.31,100,0,19.71730001,66.51643962,13.76626037
25-06-2024,SBI,45.0623,6.983,243386.31,100,0,19.71730001,66.51643962,13.76626037
26-06-2024,SBI,45.0606,6.997,243386.31,100,0,19.71730001,66.51643962,13.76626037
27-06-2024,SBI,45.0672,7,243386.31,100,0,19.71730001,66.51643962,13.76626037
28-06-2024,SBI,45.0774,7.008,243386.31,100,0,19.71730001,66.51643962,13.76626037
30-06-2024,SBI,45.0949,7.008,243386.31,100,0,19.71730001,66.51643962,13.76626037
01-07-2024,SBI,45.098,7.013,240155.14,100,0,22.36165398,64.31804156,13.32030446
02-07-2024,SBI,45.1143,7.009,240155.14,100,0,22.36165398,64.31804156,13.32030446
03-07-2024,SBI,45.1275,7.001,240155.14,100,0,22.36165398,64.31804156,13.32030446
04-07-2024,SBI,45.1333,6.998,240155.14,100,0,22.36165398,64.31804156,13.32030446
05-07-2024,SBI,45.1445,6.993,240155.14,100,0,22.36165398,64.31804156,13.32030446
08-07-2024,SBI,45.1769,6.989,240155.14,100,0,22.36165398,64.31804156,13.32030446
09-07-2024,SBI,45.1864,6.989,240155.14,100,0,22.36165398,64.31804156,13.32030446
10-07-2024,SBI,45.1975,6.976,240155.14,100,0,22.36165398,64.31804156,13.32030446
11-07-2024,SBI,45.2076,6.982,240155.14,100,0,22.36165398,64.31804156,13.32030446
12-07-2024,SBI,45.2148,6.986,240155.14,100,0,22.36165398,64.31804156,13.32030446
15-07-2024,SBI,45.2461,6.981,240155.14,100,0,22.36165398,64.31804156,13.32030446
16-07-2024,SBI,45.2751,6.966,240155.14,100,0,22.36165398,64.31804156,13.32030446
18-07-2024,SBI,45.2884,6.966,240155.14,100,0,22.36165398,64.31804156,13.32030446
19-07-2024,SBI,45.306,6.965,240155.14,100,0,22.36165398,64.31804156,13.32030446
22-07-2024,SBI,45.3352,6.967,240155.14,100,0,22.36165398,64.31804156,13.32030446
23-07-2024,SBI,45.3399,6.97,240155.14,100,0,22.36165398,64.31804156,13.32030446
24-07-2024,SBI,45.3554,6.964,240155.14,100,0,22.36165398,64.31804156,13.32030446
25-07-2024,SBI,45.3722,6.952,240155.14,100,0,22.36165398,64.31804156,13.32030446
26-07-2024,SBI,45.3873,6.94,240155.14,100,0,22.36165398,64.31804156,13.32030446
29-07-2024,SBI,45.4173,6.919,240155.14,100,0,22.36165398,64.31804156,13.32030446
30-07-2024,SBI,45.4178,6.931,240155.14,100,0,22.36165398,64.31804156,13.32030446
31-07-2024,SBI,45.4287,6.924,240155.14,100,0,22.36165398,64.31804156,13.32030446
01-08-2024,SBI,45.4421,6.916,237034.1,100,0,21.45123324,59.84034387,18.70842288
02-08-2024,SBI,45.4593,6.9,237034.1,100,0,21.45123324,59.84034387,18.70842288
05-08-2024,SBI,45.5159,6.86,237034.1,100,0,21.45123324,59.84034387,18.70842288
06-08-2024,SBI,45.513,6.872,237034.1,100,0,21.45123324,59.84034387,18.70842288
07-08-2024,SBI,45.526,6.862,237034.1,100,0,21.45123324,59.84034387,18.70842288
08-08-2024,SBI,45.5248,6.877,237034.1,100,0,21.45123324,59.84034387,18.70842288
09-08-2024,SBI,45.5812,6.88,237034.1,100,0,21.45123324,59.84034387,18.70842288
12-08-2024,SBI,45.6066,6.879,237034.1,100,0,21.45123324,59.84034387,18.70842288
